TaxonConcept,UUID,TaxonRank,AccordingTo,EIVEres-M,EIVEres-M.nw3,EIVEres-M.n,EIVEres-N,EIVEres-N.nw3,EIVEres-N.n,EIVEres-R,EIVEres-R.nw3,EIVEres-R.n,EIVEres-L,EIVEres-L.nw3,EIVEres-L.n,EIVEres-T,EIVEres-T.nw3,EIVEres-T.n
Gentianella barbata,5962365d-eafc-4811-a6dc-0b43d4c134d3,Species,EuroMed,6.0,1.6,1,,,,,,,,,,,,
Gentianella bulgarica,7188cdba-cff6-4384-92b2-4b598b5bc4c3,Species,EuroMed,3.5,2.5,2,3.2,2.9,1,6.2,2.5,2,5.7,2.8,1,4.0,2.5,2
Gentianella campestris,AS3eda59-6539-429f-b466-559689d2eba4,Species,additionalTaxa,4.6,2.4,18,2.3,4.6,12,5.1,6.9,13,7.8,3.5,14,3.1,4.6,10
Gentianella campestris subsp. baltica,a5c22c6d-37d6-4bcf-a03f-880024f5efea,Subspecies,EuroMed,5.2,3.2,6,2.6,2.4,2,5.7,6.2,5,7.7,3.0,5,4.0,4.0,6
Gentianella campestris subsp. campestris,3cd9d08f-ffa2-4ca2-a77b-951c0115d7eb,Subspecies,EuroMed,4.4,2.5,3,2.0,3.1,3,4.2,5.0,3,8.0,2.7,3,3.3,7.1,3
Gentianella caucasea,ad6f6b04-4314-482a-832e-faf4b9d4a70b,Species,EuroMed,4.4,2.5,1,3.3,2.9,1,5.7,2.8,1,7.5,2.8,1,2.5,2.6,1
Gentianella ciliata,f4f85565-d994-482c-80f8-84a7b121f458,Species,EuroMed,3.5,3.4,21,2.4,3.8,16,7.9,3.4,19,7.2,4.1,16,3.8,5.0,14
Gentianella ciliata subsp. blepharophora,b62dd033-8cc0-405b-94df-f09fce375634,Subspecies,EuroMed,4.4,2.5,1,3.3,2.9,1,4.3,2.8,1,7.5,2.8,1,2.5,2.6,1
Gentianella columnae,e7e93dc4-4783-4b19-be17-f26d65b82129,Species,EuroMed,2.6,2.5,1,1.8,2.9,1,7.6,2.8,1,7.0,2.8,1,1.9,2.6,1
Gentianella crispata,a010ce39-0abb-4057-b7a4-523cf44daa52,Species,EuroMed,2.6,2.5,1,0.6,2.9,1,7.6,2.8,1,9.4,2.8,1,1.9,2.6,1
